15.7,4353.1,4353.1,4905.1
15.8,4377.2,4377.2,4924.2
15.9,4401.4,4401.4,4943.2
16,4425.4,4425.4,4962
16.1,4449.4,4449.4,4980.8
16.2,4473.4,4473.4,4999.3
16.3,4497.3,4497.3,5017.8
16.4,4521.2,4521.2,5036.1
16.5,4545,4545,5054.3
16.6,4568.8,4568.8,5072.3
16.7,4592.5,4592.5,5090.2
16.8,4616.2,4616.2,5108
16.9,4639.8,4639.8,5125.7
17,4663.4,4663.4,5143.2
17.1,4687,4687,5160.6
17.2,4710.5,4710.5,5177.8
17.3,4733.9,4733.9,5194.9
17.4,4757.3,4757.3,5211.9
17.5,4780.7,4780.7,5228.8
17.6,4804,4804,5245.5
17.7,4827.3,4827.3,5262.1
17.8,4850.5,4850.5,5278.6
17.9,4873.7,4873.7,5294.9
18,4896.9,4896.9,5311.2
18.1,4920,4920,5327.2
18.2,4943,4943,5343.2
18.3,4966.1,4966.1,5359
18.4,4989,4989,5374.8
18.5,5012,5012,5390.3
18.6,5034.9,5034.9,5405.8
18.7,5057.7,5057.7,5421.1
18.8,5080.6,5080.6,5436.3
18.9,5103.3,5103.3,5451.4
19,5126.1,5126.1,5466.4
19.1,5148.8,5148.8,5481.2
19.2,5171.4,5171.4,5495.9
19.3,5194.1,5194.1,5510.5
19.4,5216.6,5216.6,5525
19.5,5239.2,5239.2,5539.3
19.6,5261.7,5261.7,5553.5
19.7,5284.2,5284.2,5567.6
19.8,5306.6,5306.6,5581.6
19.9,5329,5329,5595.5
20,5351.4,5351.4,5609.2
20.1,5373.7,5373.7,5622.8
20.2,5396,5396,5636.3
20.3,5418.2,5418.2,5649.7
20.4,5440.5,5440.5,5662.9
20.5,5462.7,5462.7,5676.1
20.6,5484.8,5484.8,5689.1
20.7,5506.9,5506.9,5702
20.8,5529,5529,5714.8
20.9,5551.1,5551.1,5727.5
21,5573.1,5573.1,5740
21.1,5595.1,5595.1,5752.4
21.2,5617,5617,5764.8
21.3,5638.9,5638.9,5777
21.4,5660.8,5660.8,5789.1
21.5,5682.7,5682.7,5801
21.6,5704.5,5704.5,5812.9
21.7,5726.3,5726.3,5824.6
21.8,5748.1,5748.1,5836.2
21.9,5769.8,5769.8,5847.8
22,5791.5,5791.5,5859.2
22.1,5813.1,5813.1,5870.4
22.2,5834.8,5834.8,5881.6
22.3,5856.4,5856.4,5892.7
22.4,5878,5878,5903.6
22.5,5899.5,5899.5,5914.4
22.6,5921,5921,5925.1
22.7,5942.5,5942.5,5935.7
22.8,5964,5964,5946.2
22.9,5985.4,5985.4,5956.6
23,6006.8,6006.8,5966.9
23.1,6028.2,6028.2,5977
23.2,6049.6,6049.6,5987.1
23.3,6070.9,6070.9,5997
23.4,6092.2,6092.2,6006.8
23.5,6113.4,6113.4,6016.6
23.6,6134.7,6134.7,6026.2
23.7,6155.9,6155.9,6035.6
23.8,6177.1,6177.1,6045
